rc  libapache2-mod-php8.2                   8.2.24-1+ubuntu22.04.1+deb.sury.org+1        amd64        server-side, HTML-embedded scripting language (Apache 2 module)
ii  lsphp74                                 7.4.33-3+jammy                               amd64        server-side, HTML-embedded scripting language (LSAPI binary)
ii  lsphp74-common                          7.4.33-3+jammy                               all          Common files for packages built from the PHP source
ii  lsphp74-dev                             7.4.33-3+jammy                               amd64        Files for PHP70 module development
ii  lsphp74-igbinary                        3.2.7-1+jammy                                amd64        igbinary PHP serializer
ii  lsphp74-imap                            7.4.33-3+jammy                               amd64        IMAP module for PHP
ii  lsphp74-json                            7.4.33-3+jammy                               amd64        JSON module for PHP
ii  lsphp74-memcached                       3.2.0-1+jammy                                amd64        memcached extension module for PHP, uses libmemcached
ii  lsphp74-msgpack                         2.1.2-1+jammy                                amd64        PHP extension for interfacing with MessagePack
ii  lsphp74-mysql                           7.4.33-3+jammy                               amd64        MySQL module for PHP
ii  lsphp74-opcache                         7.4.33-3+jammy                               amd64        Zend OpCache module for PHP
ii  lsphp74-redis                           5.3.7-1+jammy                                amd64        PHP extension for interfacing with Redis
ii  lsphp80                                 8.0.30-1+jammy                               amd64        server-side, HTML-embedded scripting language (LSAPI binary)
ii  lsphp80-apcu                            5.1.21-1+jammy                               amd64        APC User Cache for PHP
ii  lsphp80-common                          8.0.30-1+jammy                               all          Common files for packages built from the PHP source
ii  lsphp80-curl                            8.0.30-1+jammy                               amd64        CURL module for PHP
ii  lsphp80-dbg                             8.0.30-1+jammy                               amd64        Debug symbols for LSPHP70
ii  lsphp80-dev                             8.0.30-1+jammy                               amd64        Files for PHP70 module development
ii  lsphp80-igbinary                        3.2.7-1+jammy                                amd64        igbinary PHP serializer
ii  lsphp80-imagick                         3.7.0-1+jammy                                amd64        Provides a wrapper to the ImageMagick library
ii  lsphp80-imap                            8.0.30-1+jammy                               amd64        IMAP module for PHP
ii  lsphp80-intl                            8.0.30-1+jammy                               amd64        Internationalisation module for PHP
ii  lsphp80-ldap                            8.0.30-1+jammy                               amd64        LDAP module for PHP
ii  lsphp80-memcached                       3.2.0-1+jammy                                amd64        memcached extension module for PHP, uses libmemcached
ii  lsphp80-modules-source                  8.0.30-1+jammy                               all          PHP 70 modules source package
ii  lsphp80-msgpack                         2.1.2-1+jammy                                amd64        PHP extension for interfacing with MessagePack
ii  lsphp80-mysql                           8.0.30-1+jammy                               amd64        MySQL module for PHP
ii  lsphp80-opcache                         8.0.30-1+jammy                               amd64        Zend OpCache module for PHP
ii  lsphp80-pear                            1.10.13-1+jammy                              all          Provides PHP PEAR package
ii  lsphp80-pgsql                           8.0.30-1+jammy                               amd64        PostgreSQL module for PHP
ii  lsphp80-pspell                          8.0.30-1+jammy                               amd64        pspell module for PHP
ii  lsphp80-redis                           5.3.7-1+jammy                                amd64        PHP extension for interfacing with Redis
ii  lsphp80-snmp                            8.0.30-1+jammy                               amd64        SNMP module for PHP
ii  lsphp80-sqlite3                         8.0.30-1+jammy                               amd64        SQLite3 module for PHP
ii  lsphp80-sybase                          8.0.30-1+jammy                               amd64        Sybase module for PHP
ii  lsphp80-tidy                            8.0.30-1+jammy                               amd64        tidy module for PHP
ii  lsphp81                                 8.1.29-1+jammy                               amd64        server-side, HTML-embedded scripting language (LSAPI binary)
ii  lsphp81-apcu                            5.1.23-1+jammy                               amd64        APC User Cache for PHP
ii  lsphp81-common                          8.1.29-1+jammy                               all          Common files for packages built from the PHP source
ii  lsphp81-curl                            8.1.29-1+jammy                               amd64        CURL module for PHP
ii  lsphp81-dbg                             8.1.29-1+jammy                               amd64        Debug symbols for LSPHP70
ii  lsphp81-dev                             8.1.29-1+jammy                               amd64        Files for PHP70 module development
ii  lsphp81-igbinary                        3.2.15-1+jammy                               amd64        igbinary PHP serializer
ii  lsphp81-imagick                         3.7.0-1+jammy                                amd64        Provides a wrapper to the ImageMagick library
ii  lsphp81-imap                            8.1.29-1+jammy                               amd64        IMAP module for PHP
ii  lsphp81-intl                            8.1.29-1+jammy                               amd64        Internationalisation module for PHP
ii  lsphp81-ioncube                         13.3.0-1+jammy                               amd64        PHP extension for interfacing with ioncube
ii  lsphp81-ldap                            8.1.29-1+jammy                               amd64        LDAP module for PHP
ii  lsphp81-memcached                       3.2.0-1+jammy                                amd64        memcached extension module for PHP, uses libmemcached
ii  lsphp81-modules-source                  8.1.29-1+jammy                               all          PHP 70 modules source package
ii  lsphp81-msgpack                         2.2.0-1+jammy                                amd64        PHP extension for interfacing with MessagePack
ii  lsphp81-mysql                           8.1.29-1+jammy                               amd64        MySQL module for PHP
ii  lsphp81-opcache                         8.1.29-1+jammy                               amd64        Zend OpCache module for PHP
ii  lsphp81-pear                            1.10.15-1+jammy                              all          Provides PHP PEAR package
ii  lsphp81-pgsql                           8.1.29-1+jammy                               amd64        PostgreSQL module for PHP
